Album Name,Album Link
Papadosio Arcade | Secret Dreams Festival | 9.18.22,https://papadosio.bandcamp.com/album/papadosio-arcade-secret-dreams-festival-91822-2
"Subterranea | Pelham, TN | 8.05.22",https://papadosio.bandcamp.com/album/subterranea-pelham-tn-80522
"Subterranea | Pelham, TN | 8.06.22",https://papadosio.bandcamp.com/album/subterranea-pelham-tn-80622
"Okeechobee Music Festival | Okeechobee, FL | 3.5.22",https://papadosio.bandcamp.com/album/okeechobee-music-festival-okeechobee-fl-3522
"Brooklyn Bowl | Philadelphia, PA | 2.18.22",https://papadosio.bandcamp.com/album/brooklyn-bowl-philadelphia-pa-21822
"Empire Garage | Austin, TX | 1.29.22",https://papadosio.bandcamp.com/album/empire-garage-austin-tx-12922
"Empire Garage | Austin, TX | 1.28.22",https://papadosio.bandcamp.com/album/empire-garage-austin-tx-12822-2
"Deep Ellum Art Co. | Dallas, TX | 1.27.22",https://papadosio.bandcamp.com/album/deep-ellum-art-co-dallas-tx-12722
"Last Concert Cafe | Houston, TX | 1.26.22",https://papadosio.bandcamp.com/album/last-concert-cafe-houston-tx-12622
"12.30.21 | The Bluestone | Columbus, OH",https://papadosio.bandcamp.com/album/123021-the-bluestone-columbus-oh
"12.31.21 | The Bluestone | Columbus, OH",https://papadosio.bandcamp.com/album/123121-the-bluestone-columbus-oh
"9.18.21 | Resonance Festival | Masontown, WV",https://papadosio.bandcamp.com/album/91821-resonance-festival-masontown-wv
"9.17.21 | Resonance Festival | Masontown, WV",https://papadosio.bandcamp.com/album/91721-resonance-festival-masontown-wv
"9.16.21 | Resonance Festival | Masontown, WV",https://papadosio.bandcamp.com/album/91621-resonance-festival-masontown-wv
"8.28.21 | Backwoods Festival | Mulberry Mountain, AR",https://papadosio.bandcamp.com/album/82821-backwoods-festival-mulberry-mountain-ar
"8.7.21 | The Caverns | Pelham, TN",https://papadosio.bandcamp.com/album/8721-the-caverns-pelham-tn
"7.24.21 | The Werk Out | Legend Valley, OH - Set 3",https://papadosio.bandcamp.com/album/72421-the-werk-out-legend-valley-oh-set-3
"7.23.21 | The Werk Out | Legend Valley, OH - Set 2",https://papadosio.bandcamp.com/album/72321-the-werk-out-legend-valley-oh-set-2
"7.23.21 | The Werk Out | Legend Valley, OH - Set 1",https://papadosio.bandcamp.com/album/72321-the-werk-out-legend-valley-oh-set-1
"6.26.21 | The Roxy | Atlanta, GA",https://papadosio.bandcamp.com/album/62621-the-roxy-atlanta-ga
"6.25.21 | The Roxy | Atlanta, GA",https://papadosio.bandcamp.com/album/62521-the-roxy-atlanta-ga
"6.2.21 | Red Rocks Amphitheatre | Morrison, CO",https://papadosio.bandcamp.com/album/6221-red-rocks-amphitheatre-morrison-co
"5.23.21 | Resonate Festival | Suwannee, FL",https://papadosio.bandcamp.com/album/52321-resonate-festival-suwannee-fl
"5.21.21 | Resonate Festival | Suwannee, FL",https://papadosio.bandcamp.com/album/52121-resonate-festival-suwannee-fl
"4.10.21 | Smoky Mountain Event Center | Waynesville, NC",https://papadosio.bandcamp.com/album/41021-smoky-mountain-event-center-waynesville-nc
"4.9.21 | Smoky Mountain Event Center | Waynesville, NC",https://papadosio.bandcamp.com/album/4921-smoky-mountain-event-center-waynesville-nc
"12.19.20 | Holidosio Acoustic Set | Asheville, NC",https://papadosio.bandcamp.com/album/121920-holidosio-acoustic-set-asheville-nc
"12.18.20 | Holidosio Improv Set | Asheville, NC",https://papadosio.bandcamp.com/album/121820-holidosio-improv-set-asheville-nc
"12.17.20 | Holidosio Original Set | Asheville, NC",https://papadosio.bandcamp.com/album/121720-holidosio-original-set-asheville-nc
"10.10.20 | Smoky Mountain Event Center | Waynesville, NC",https://papadosio.bandcamp.com/album/101020-smoky-mountain-event-center-waynesville-nc
"10.9.20 | Smoky Mountain Event Center | Waynesville, NC",https://papadosio.bandcamp.com/album/10920-smoky-mountain-event-center-waynesville-nc
"3.11.20 | Brooklyn Bowl | Brooklyn, NY",https://papadosio.bandcamp.com/album/31120-brooklyn-bowl-brooklyn-ny
"3.6.20 | Okeechobee Music Festival | Okeechobee, FL",https://papadosio.bandcamp.com/album/3620-okeechobee-music-festival-okeechobee-fl
"2.15.20 | Miramar Theater | Milwaukee, WI",https://papadosio.bandcamp.com/album/21520-miramar-theater-milwaukee-wi
"2.14.20 | Miramar Theatre | Milwaukee, WI",https://papadosio.bandcamp.com/album/21420-miramar-theatre-milwaukee-wi
